COIN,PRICE,CHG 24H,MKT CAP,VOL 24H,OPEN INTEREST,OI CHG 24H,OI SHARE,OI / VOL24H,FR AVG,PFR AVG,LIQS. 24H,Columna_13
,aPriori APR,$0.3616,+9.71%,n/a,$210.9m,$13.2m,+23.21%,0.17%,0.063,+0.0305%,+0.0481%,$857.2k
,Delysium AGI,$0.0313,+4.61%,$65.7m,$2.4m,$887.9k,+20.76%,0.01%,0.368,-0.0337%,-0.0066%,$1.9k
,NEIROCTO NEIROCTO,$0.0002,-3.82%,n/a,$41.5k,$38.6k,+20.20%,0.00%,0.931,+0.0100%,n/a,$0.0
,Berachain BERA,$1.84,+6.29%,$239.0m,$82.4m,$56.4m,+18.70%,0.73%,0.685,-0.0070%,-0.0079%,$59.2k
,YieldBasis YB,$0.6174,+11.75%,n/a,$370.8m,$32.5m,+17.48%,0.42%,0.088,-0.0110%,-0.0214%,$955.1k
,Euler EUL,$8.78,+7.84%,$163.8m,$62.7m,$7.6m,+17.14%,0.10%,0.120,+0.0085%,+0.0100%,$224.8k
,MOG Coin MOG,$0.0000,-1.10%,$178.2m,$779.4k,$368.7k,+16.59%,0.00%,0.473,-0.0946%,-0.1870%,$4.4k
,PumpBTC (Governance token) PUMP,$0.0519,+8.22%,$14.7m,$11.0m,$4.0m,+16.56%,0.05%,0.361,+0.0075%,+0.0075%,$20.7k
,Haedal Protocol HAEDAL,$0.0945,+1.53%,$18.4m,$9.2m,$3.2m,+15.70%,0.04%,0.353,-0.0200%,-0.0412%,$24.8k
,Saros SAROS,$0.0875,+1.51%,$229.5m,$1.7m,$1.9m,+15.05%,0.02%,1.107,+0.0100%,+0.0100%,$5.6k
,XDC Network XDC,$0.0614,-1.38%,$1.1b,$1.2m,$2.4m,+14.95%,0.03%,1.889,+0.0100%,+0.0100%,$1.6
,Jelly-My-Jelly JELLYJELLY,$0.0918,+15.12%,$92.1m,$60.7m,$103.4m,+14.72%,1.33%,1.704,+0.0198%,+0.0253%,$101.3k
,Orca ORCA,$1.55,+2.31%,$93.0m,$8.8m,$4.5m,+14.67%,0.06%,0.508,-0.0407%,-0.0454%,$12.5k
,1000TURBO 1000TURBO,$2.46,-0.43%,n/a,$2.4m,$1.5m,+14.64%,0.02%,0.639,+0.0100%,+0.0100%,$337.5
,1000000BABYDOGE 1000000BABYDOGE,$0.0010,-1.35%,n/a,$1.3m,$1.2m,+14.03%,0.02%,0.917,+0.0100%,+0.0100%,$16.0k
,EVAA Protocol EVAA,$11.36,+19.04%,$78.4m,$373.5m,$51.8m,+13.35%,0.67%,0.139,+0.0080%,+0.0110%,$1.5m
,Elixir ELX,$0.1094,+3.01%,$28.2m,$1.5m,$1.2m,+11.15%,0.02%,0.801,+0.0025%,+0.0025%,$1.5k
,BSquared Network B2,$1.13,-1.08%,$47.1m,$169.0m,$13.1m,+11.10%,0.17%,0.077,-0.0045%,-0.0047%,$745.5k
,dYdX DYDX,$0.3349,-3.32%,$264.9m,$84.1m,$24.9m,+11.04%,0.32%,0.297,+0.0098%,+0.0145%,$232.4k
,REI Network REI,$0.0114,-5.25%,$11.3m,$2.1m,$1.2m,+10.98%,0.01%,0.541,+0.0050%,+0.0050%,$27.3k
,Chain XCN,$0.0090,+2.33%,$323.3m,$9.1m,$3.1m,+10.68%,0.04%,0.338,-0.0333%,-0.0266%,$64.7k
,Creditcoin CTC,$0.4983,+7.28%,$244.7m,$4.5m,$2.7m,+10.64%,0.04%,0.609,+0.0300%,+0.0427%,$3.1k
,Ontology ONT,$0.0892,-3.08%,$82.1m,$9.3m,$4.5m,+10.18%,0.06%,0.484,-0.0503%,-0.0296%,$47.9k
,Fluid FLUID,$4.79,+1.80%,$372.9m,$9.6m,$4.7m,+10.07%,0.06%,0.494,+0.0083%,+0.0100%,$44.7k
,Venice Token VVV,$1.62,+0.27%,$65.8m,$6.5m,$6.7m,+9.60%,0.09%,1.031,+0.0096%,+0.0069%,$31.3k
,THORChain RUNE,$0.8801,-0.87%,$309.2m,$22.2m,$11.2m,+9.43%,0.14%,0.506,+0.0047%,+0.0042%,$29.2k
,MemeFi MEMEFI,$0.0011,+10.39%,$11.0m,$182.9k,$28.6k,+9.00%,0.00%,0.156,+0.0050%,n/a,$4.0k
,Coin98 C98,$0.0372,-0.76%,$37.2m,$5.9m,$4.2m,+8.99%,0.05%,0.718,-0.1219%,-0.2634%,$34.3k
,iExec RLC RLC,$0.8674,-3.18%,$62.6m,$11.5m,$2.5m,+8.37%,0.03%,0.219,-0.1924%,-0.0003%,$22.0k
